price,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,instant_bookable,host_is_superhost,host_identity_verified,bathrooms
289.0,Jamaica Plain,Entire home/apt,Entire rental unit,6,3.0,3.0,3,365,177,7,1.54,4.86,0,1.0,1.0,1.0
455.0,Dorchester,Entire home/apt,Entire rental unit,8,3.0,4.0,2,365,339,12,2.47,4.67,0,,0.0,2.0
303.0,Dorchester,Entire home/apt,Entire rental unit,14,4.0,8.0,1,365,330,23,4.39,4.78,1,1.0,1.0,2.0
311.0,North End,Entire home/apt,Entire rental unit,7,3.0,4.0,2,365,316,16,2.96,4.31,0,0.0,1.0,1.0
398.0,South End,Entire home/apt,Entire rental unit,4,2.0,2.0,2,14,360,0,,,0,1.0,1.0,1.0
86.0,Dorchester,Private room,Private room in home,3,1.0,2.0,2,365,338,13,2.48,4.85,1,1.0,1.0,1.0
98.0,Dorchester,Private room,Private room in home,5,1.0,2.0,2,365,334,20,3.82,4.85,0,1.0,1.0,1.0
311.0,Jamaica Plain,Entire home/apt,Entire home,5,2.0,2.0,1,365,208,19,3.43,5.0,0,1.0,1.0,1.0
371.0,South End,Entire home/apt,Entire rental unit,5,2.0,3.0,4,365,353,7,1.52,4.14,0,0.0,1.0,2.0
278.0,South Boston Waterfront,Entire home/apt,Entire rental unit,2,0.0,1.0,31,1125,309,0,,,1,0.0,1.0,1.0
58.0,Roxbury,Private room,Private room in home,2,1.0,1.0,1,365,51,6,1.2,4.0,0,0.0,1.0,3.0
95.0,Dorchester,Private room,Private room in home,1,1.0,1.0,2,5,202,8,2.58,5.0,0,1.0,1.0,1.0
279.0,South Boston Waterfront,Entire home/apt,Entire rental unit,2,0.0,1.0,31,1125,146,0,,,1,0.0,1.0,1.0
284.0,South Boston,Entire home/apt,Entire rental unit,4,2.0,2.0,31,1125,91,0,,,1,0.0,1.0,2.0
740.0,North End,Entire home/apt,Entire rental unit,12,4.0,5.0,29,365,365,2,0.36,5.0,0,1.0,1.0,2.0
205.0,Jamaica Plain,Entire home/apt,Entire rental unit,6,2.0,3.0,1,20,159,4,0.99,5.0,0,0.0,1.0,1.0
255.0,Dorchester,Entire home/apt,Entire rental unit,13,3.0,8.0,1,28,262,9,2.01,4.89,1,1.0,1.0,2.0
44.0,Brighton,Private room,Private room in rental unit,1,5.0,1.0,31,365,113,1,0.55,5.0,0,0.0,1.0,0.0
280.0,Hyde Park,Private room,Private room in home,3,2.0,2.0,1,365,365,0,,,0,0.0,0.0,1.0
297.0,East Boston,Entire home/apt,Entire rental unit,2,1.0,2.0,2,90,123,17,3.86,5.0,0,0.0,1.0,1.0
145.0,Dorchester,Entire home/apt,Entire rental unit,4,2.0,2.0,1,365,296,31,6.46,4.52,0,0.0,1.0,1.5
557.0,Dorchester,Entire home/apt,Entire townhouse,16,5.0,8.0,2,365,251,7,1.56,4.86,1,1.0,1.0,2.0
423.0,Back Bay,Entire home/apt,Entire rental unit,4,2.0,2.0,31,1125,276,0,,,1,0.0,1.0,2.0
724.0,Dorchester,Entire home/apt,Entire condo,16,6.0,8.0,1,1125,354,18,3.78,5.0,1,0.0,1.0,3.0
231.0,South End,Entire home/apt,Entire rental unit,2,1.0,1.0,1,14,307,4,1.26,5.0,1,0.0,1.0,1.0
167.0,Bay Village,Private room,Private room in rental unit,3,0.0,2.0,3,500,264,1,0.2,5.0,0,0.0,1.0,1.0
144.0,Bay Village,Private room,Private room in rental unit,2,1.0,1.0,29,500,277,3,0.62,3.0,0,0.0,1.0,1.0
189.0,Bay Village,Entire home/apt,Entire rental unit,2,1.0,1.0,3,1125,334,4,0.79,3.5,0,0.0,1.0,1.0
105.0,Bay Village,Private room,Private room in rental unit,1,1.0,1.0,3,363,257,6,1.15,3.83,0,0.0,1.0,1.0
216.0,Bay Village,Entire home/apt,Entire rental unit,2,1.0,1.0,3,330,318,5,1.38,4.8,0,0.0,1.0,1.0
163.0,Brighton,Entire home/apt,Entire rental unit,3,0.0,1.0,1,365,350,19,3.65,4.79,1,1.0,1.0,1.0
195.0,Brighton,Entire home/apt,Entire rental unit,4,1.0,1.0,1,365,345,15,2.9,4.8,1,1.0,1.0,1.0
197.0,Brighton,Entire home/apt,Entire rental unit,4,1.0,1.0,29,365,327,22,4.29,4.77,1,1.0,1.0,1.0
197.0,Brighton,Entire home/apt,Entire rental unit,4,1.0,2.0,1,365,338,21,4.04,4.95,1,1.0,1.0,1.0
599.0,Back Bay,Entire home/apt,Entire rental unit,5,2.0,3.0,29,365,364,1,0.24,3.0,0,0.0,1.0,2.0
175.0,South Boston,Entire home/apt,Entire rental unit,2,1.0,1.0,1,365,3,3,0.63,5.0,0,1.0,1.0,1.0
216.0,Dorchester,Entire home/apt,Entire rental unit,5,2.0,3.0,1,365,308,28,5.45,5.0,0,1.0,1.0,1.0
574.0,Dorchester,Entire home/apt,Entire rental unit,16,5.0,9.0,2,365,298,17,3.7,4.88,0,,0.0,2.0
94.0,Mattapan,Private room,Private room in rental unit,2,1.0,1.0,1,365,256,1,1.0,5.0,0,0.0,1.0,1.0
432.0,South End,Entire home/apt,Entire condo,4,2.0,2.0,2,300,285,22,4.55,5.0,0,0.0,0.0,1.0
449.0,South Boston Waterfront,Entire home/apt,Entire rental unit,6,3.0,5.0,29,365,341,0,,,0,0.0,1.0,2.0
280.0,Charlestown,Entire home/apt,Entire rental unit,3,2.0,3.0,91,365,268,0,,,0,0.0,1.0,1.0
120.0,Beacon Hill,Private room,Private room in rental unit,1,1.0,1.0,29,365,89,0,,,0,0.0,1.0,1.0
337.0,Dorchester,Entire home/apt,Entire rental unit,11,4.0,5.0,2,365,227,16,4.21,4.81,1,0.0,1.0,2.0
200.0,Roxbury,Entire home/apt,Entire rental unit,6,3.0,3.0,91,365,365,0,,,0,0.0,0.0,2.0
315.0,West Roxbury,Entire home/apt,Entire home,6,3.0,3.0,2,27,193,16,3.29,5.0,0,1.0,1.0,1.0
150.0,Roxbury,Private room,Private room in home,2,1.0,1.0,91,365,365,0,,,0,0.0,0.0,1.0
255.0,East Boston,Entire home/apt,Entire rental unit,2,1.0,2.0,2,90,126,22,6.06,5.0,0,0.0,1.0,1.0
119.0,Dorchester,Private room,Private room in rental unit,3,2.0,1.0,29,180,345,0,,,0,0.0,1.0,1.0
119.0,Dorchester,Private room,Private room in rental unit,3,3.0,1.0,29,365,345,0,,,0,0.0,1.0,2.0
170.0,Back Bay,Entire home/apt,Entire rental unit,2,1.0,1.0,91,95,364,0,,,0,0.0,1.0,1.0
224.0,East Boston,Entire home/apt,Entire rental unit,6,3.0,3.0,1,365,333,59,13.21,4.8,1,1.0,1.0,1.0
188.0,Brighton,Entire home/apt,Entire rental unit,6,3.0,3.0,1,365,345,12,2.98,4.33,0,1.0,1.0,1.0
50.0,Brighton,Private room,Private room in rental unit,1,1.0,1.0,28,365,166,1,0.63,4.0,0,0.0,1.0,1.0
124.0,South Boston,Entire home/apt,Entire condo,3,0.0,1.0,91,365,342,0,,,0,0.0,1.0,1.0
208.0,Beacon Hill,Entire home/apt,Entire condo,2,0.0,1.0,2,365,215,24,5.63,4.75,1,0.0,1.0,1.0
80.0,East Boston,Private room,Private room in rental unit,1,1.0,1.0,91,365,364,0,,,0,0.0,0.0,1.0
119.0,Dorchester,Private room,Private room in rental unit,3,1.0,1.0,29,365,346,0,,,0,0.0,1.0,2.0
794.0,Back Bay,Entire home/apt,Entire rental unit,7,3.0,3.0,4,365,250,1,0.42,5.0,1,1.0,0.0,2.0
523.0,Back Bay,Entire home/apt,Entire rental unit,5,2.0,2.0,4,365,198,6,1.64,5.0,1,1.0,0.0,2.0
290.0,Back Bay,Entire home/apt,Entire rental unit,3,1.0,1.0,4,365,127,6,1.7,4.83,1,1.0,0.0,1.0
567.0,North End,Entire home/apt,Entire rental unit,6,3.0,3.0,4,365,239,7,1.75,5.0,1,1.0,0.0,1.5
551.0,North End,Entire home/apt,Entire rental unit,6,3.0,3.0,4,365,107,10,2.78,5.0,1,1.0,0.0,1.0
725.0,Downtown,Entire home/apt,Entire rental unit,6,2.0,5.0,29,365,365,2,0.59,5.0,1,0.0,1.0,2.0
168.0,East Boston,Entire home/apt,Entire home,7,3.0,4.0,29,210,359,2,0.7,5.0,0,0.0,1.0,1.0
235.0,Back Bay,Entire home/apt,Entire rental unit,3,0.0,2.0,1,365,314,19,4.6,4.89,1,1.0,1.0,1.0
247.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,365,330,18,5.0,4.78,1,1.0,1.0,1.0
241.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,365,338,13,3.05,4.54,1,1.0,1.0,1.0
200.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,2.0,1,365,318,20,4.55,4.75,1,1.0,1.0,1.0
301.0,Back Bay,Entire home/apt,Entire rental unit,3,1.0,2.0,1,365,336,17,4.55,4.82,1,1.0,1.0,1.0
305.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,365,326,11,3.0,5.0,1,1.0,1.0,1.0
403.0,Back Bay,Entire home/apt,Entire rental unit,4,2.0,3.0,1,365,286,13,3.45,4.77,1,1.0,1.0,1.0
278.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,365,63,14,3.39,4.71,1,1.0,1.0,1.0
273.0,Back Bay,Entire home/apt,Entire rental unit,2,1.0,1.0,1,365,128,14,3.07,4.79,1,,1.0,1.0
278.0,Back Bay,Entire home/apt,Entire rental unit,3,1.0,2.0,1,365,143,10,2.38,4.9,1,,1.0,1.0
190.0,Dorchester,Entire home/apt,Entire rental unit,13,3.0,8.0,1,28,263,9,2.05,5.0,1,1.0,1.0,2.0
154.0,Brighton,Entire home/apt,Entire rental unit,4,1.0,2.0,29,730,333,0,,,0,,1.0,1.0
195.0,East Boston,Entire home/apt,Entire rental unit,3,1.0,1.0,1,365,359,10,2.16,4.7,1,0.0,1.0,1.0
192.0,West Roxbury,Private room,Private room in rental unit,5,2.0,3.0,1,365,172,2,0.56,5.0,0,1.0,0.0,1.0
283.0,Brighton,Entire home/apt,Entire rental unit,2,1.0,1.0,28,730,204,3,0.68,2.67,0,,1.0,1.0
720.0,Back Bay,Entire home/apt,Entire rental unit,4,2.0,2.0,1,365,302,19,4.83,4.95,1,1.0,1.0,2.0
874.0,Downtown,Entire home/apt,Entire condo,10,4.0,6.0,28,365,332,2,0.63,5.0,0,1.0,1.0,3.0
157.0,Dorchester,Entire home/apt,Entire rental unit,2,1.0,1.0,2,730,339,4,1.25,4.5,0,,1.0,1.0
289.0,Back Bay,Entire home/apt,Entire rental unit,6,2.0,1.0,28,730,324,10,2.31,4.3,0,,1.0,1.0
134.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,28,730,345,7,3.33,4.43,0,,1.0,1.0
179.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,28,730,276,7,1.68,4.86,0,,1.0,1.0
338.0,Dorchester,Entire home/apt,Entire rental unit,12,4.0,6.0,2,365,327,6,2.47,5.0,0,,1.0,3.0
96.0,South Boston,Private room,Private room in rental unit,2,0.0,1.0,1,365,51,2,0.49,3.0,1,0.0,1.0,1.0
987.0,Jamaica Plain,Entire home/apt,Entire condo,16,10.0,14.0,30,1125,311,0,,,1,1.0,1.0,5.0
