price,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,instant_bookable,host_is_superhost,host_identity_verified,bathrooms
293.0,Back Bay,Entire home/apt,Entire rental unit,2,1.0,1.0,1,365,11,21,6.0,5.0,1,,1.0,1.0
185.0,Brighton,Entire home/apt,Entire rental unit,4,0.0,2.0,29,1125,325,1,0.43,4.0,0,,1.0,1.0
212.0,South End,Entire home/apt,Entire rental unit,2,1.0,1.0,1,14,352,4,1.35,5.0,1,0.0,1.0,1.0
216.0,East Boston,Entire home/apt,Entire rental unit,6,3.0,3.0,2,365,333,5,5.0,5.0,1,1.0,1.0,1.0
202.0,East Boston,Entire home/apt,Entire rental unit,6,3.0,3.0,2,365,345,1,1.0,4.0,1,1.0,1.0,1.0
385.0,Roxbury,Entire home/apt,Entire rental unit,10,3.0,5.0,1,365,312,23,6.22,4.87,0,1.0,1.0,2.0
440.0,South Boston,Entire home/apt,Entire home,7,4.0,5.0,2,14,31,3,1.45,5.0,0,0.0,0.0,3.5
290.0,East Boston,Entire home/apt,Entire rental unit,8,3.0,4.0,1,365,330,29,8.21,4.79,1,1.0,1.0,1.0
500.0,South Boston Waterfront,Entire home/apt,Entire rental unit,4,1.0,1.0,29,365,360,1,0.68,5.0,0,0.0,1.0,1.0
99.0,Allston,Private room,Private room in home,2,1.0,1.0,1,365,206,22,7.1,4.64,1,0.0,1.0,1.0
540.0,Jamaica Plain,Entire home/apt,Entire rental unit,8,3.0,5.0,1,365,339,3,0.91,4.33,0,0.0,1.0,2.0
799.0,Downtown,Entire home/apt,Entire rental unit,6,2.0,5.0,15,365,365,0,,,1,0.0,1.0,2.0
175.0,Dorchester,Entire home/apt,Entire rental unit,5,2.0,3.0,1,365,331,17,4.77,4.76,0,1.0,1.0,1.0
